star_age  Teff  log_g  feh  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   8.565162E+03   4.905686E+03   2.098622E+00  -1.274053E+00    8.983261E+00   2.550912E-04   7.788213E-02  -1.395835E+00  -3.295435E+00  -3.847765E+00  -4.471881E+00  -2.838318E+00  -1.078371E+00  -2.245172E+00
   9.368766E+03   4.917183E+03   2.111038E+00  -1.274053E+00    9.004136E+00   2.502335E-04   7.854176E-02  -1.384317E+00  -3.273533E+00  -3.823112E+00  -4.444600E+00  -2.818473E+00  -1.076487E+00  -2.228078E+00
   1.032828E+04   4.931275E+03   2.122198E+00  -1.274053E+00    9.019607E+00   2.466933E-04   7.919559E-02  -1.380148E+00  -3.256822E+00  -3.803046E+00  -4.421284E+00  -2.804260E+00  -1.083354E+00  -2.217183E+00
   1.118584E+04   4.942281E+03   2.128643E+00  -1.274053E+00    9.026032E+00   2.452378E-04   7.959876E-02  -1.382453E+00  -3.249426E+00  -3.793044E+00  -4.408734E+00  -2.798802E+00  -1.093799E+00  -2.214286E+00
   1.201629E+04   4.952580E+03   2.131660E+00  -1.274053E+00    9.024525E+00   2.455782E-04   7.979271E-02  -1.392044E+00  -3.250041E+00  -3.791230E+00  -4.404516E+00  -2.801218E+00  -1.110482E+00  -2.219067E+00
   1.301283E+04   4.964927E+03   2.131202E+00  -1.274053E+00    9.012552E+00   2.483015E-04   7.975957E-02  -1.413616E+00  -3.260970E+00  -3.799257E+00  -4.409638E+00  -2.814291E+00  -1.139858E+00  -2.234937E+00
   1.420868E+04   4.980054E+03   2.124742E+00  -1.274053E+00    8.983165E+00   2.551138E-04   7.934147E-02  -1.454655E+00  -3.289111E+00  -3.823858E+00  -4.430650E+00  -2.845040E+00  -1.189424E+00  -2.269061E+00
   1.524677E+04   4.993223E+03   2.112704E+00  -1.274053E+00    8.941572E+00   2.650766E-04   7.861661E-02  -1.506309E+00  -3.329668E+00  -3.861343E+00  -4.464978E+00  -2.887851E+00  -1.247406E+00  -2.314762E+00
   1.622835E+04   5.006658E+03   2.095626E+00  -1.274053E+00    8.887169E+00   2.786970E-04   7.770619E-02  -1.570920E+00  -3.383040E+00  -3.911594E+00  -4.511994E+00  -2.943511E+00  -1.317607E+00  -2.373336E+00
   1.719161E+04   5.021830E+03   2.074283E+00  -1.274053E+00    8.820640E+00   2.963083E-04   7.676849E-02  -1.648866E+00  -3.448395E+00  -3.973449E+00  -4.570246E+00  -3.011429E+00  -1.401574E+00  -2.444505E+00
   1.815183E+04   5.040168E+03   2.050945E+00  -1.274053E+00    8.746438E+00   3.172669E-04   7.600673E-02  -1.736751E+00  -3.521073E+00  -4.041946E+00  -4.634496E+00  -3.087190E+00  -1.497017E+00  -2.524183E+00
   1.918843E+04   5.065365E+03   2.029031E+00  -1.274053E+00    8.669976E+00   3.404156E-04   7.555228E-02  -1.831869E+00  -3.595158E+00  -4.110385E+00  -4.697304E+00  -3.165497E+00  -1.603576E+00  -2.607907E+00
   2.026925E+04   5.099033E+03   2.014130E+00  -1.274053E+00    8.603952E+00   3.617589E-04   7.539882E-02  -1.922519E+00  -3.657573E+00  -4.165415E+00  -4.745082E+00  -3.233527E+00  -1.710545E+00  -2.683219E+00
   2.129870E+04   5.139300E+03   2.008169E+00  -1.274053E+00    8.554895E+00   3.784791E-04   7.537106E-02  -2.000443E+00  -3.701849E+00  -4.201054E+00  -4.772272E+00  -3.284461E+00  -1.807898E+00  -2.742862E+00
   2.230897E+04   5.191144E+03   2.010966E+00  -1.274053E+00    8.518295E+00   3.914552E-04   7.535829E-02  -2.073123E+00  -3.731729E+00  -4.220086E+00  -4.780506E+00  -3.322812E+00  -1.903968E+00  -2.792364E+00
   2.333845E+04   5.263715E+03   2.023851E+00  -1.274053E+00    8.490112E+00   4.017492E-04   7.546722E-02  -2.149786E+00  -3.749714E+00  -4.223313E+00  -4.768237E+00  -3.352474E+00  -2.007996E+00  -2.837521E+00
   2.437288E+04   5.355672E+03   2.045120E+00  -1.274053E+00    8.468063E+00   4.099913E-04   7.588844E-02  -2.229421E+00  -3.757873E+00  -4.213503E+00  -4.738442E+00  -3.375031E+00  -2.116908E+00  -2.879041E+00
   2.535889E+04   5.463420E+03   2.072580E+00  -1.274053E+00    8.450265E+00   4.167676E-04   7.670590E-02  -2.309610E+00  -3.758348E+00  -4.193763E+00  -4.695258E+00  -3.391833E+00  -2.223855E+00  -2.917377E+00
   2.630908E+04   5.580153E+03   2.103383E+00  -1.274053E+00    8.435424E+00   4.225035E-04   7.812140E-02  -2.386684E+00  -3.753513E+00  -4.167801E+00  -4.643724E+00  -3.404129E+00  -2.319442E+00  -2.952616E+00
   2.726246E+04   5.700552E+03   2.135424E+00  -1.274053E+00    8.422945E+00   4.273877E-04   8.004483E-02  -2.457365E+00  -3.744890E+00  -4.138314E+00  -4.587861E+00  -3.412487E+00  -2.403369E+00  -2.983717E+00
   2.825606E+04   5.826362E+03   2.168950E+00  -1.274053E+00    8.411900E+00   4.317576E-04   8.256468E-02  -2.524629E+00  -3.733504E+00  -4.105658E+00  -4.528327E+00  -3.418357E+00  -2.475023E+00  -3.013016E+00
   2.878065E+04   5.894677E+03   2.186036E+00  -1.274053E+00    8.404021E+00   4.349021E-04   8.403552E-02  -2.560684E+00  -3.729122E+00  -4.090046E+00  -4.498242E+00  -3.423087E+00  -2.511365E+00  -3.030041E+00
   2.930524E+04   5.962133E+03   2.203167E+00  -1.274053E+00    8.397439E+00   4.375468E-04   8.558148E-02  -2.594128E+00  -3.723471E+00  -4.073464E+00  -4.467667E+00  -3.426286E+00  -2.543304E+00  -3.045315E+00
   2.993474E+04   6.042283E+03   2.223822E+00  -1.274053E+00    8.391028E+00   4.401378E-04   8.761929E-02  -2.631387E+00  -3.715167E+00  -4.052346E+00  -4.430481E+00  -3.428326E+00  -2.576584E+00  -3.061683E+00
   3.069015E+04   6.137474E+03   2.248471E+00  -1.274053E+00    8.384809E+00   4.426663E-04   9.026535E-02  -2.671944E+00  -3.703907E+00  -4.026209E+00  -4.385681E+00  -3.429086E+00  -2.610741E+00  -3.079011E+00
   3.114340E+04   6.195446E+03   2.262797E+00  -1.274053E+00    8.379820E+00   4.447048E-04   8.901938E-02  -2.697094E+00  -3.698174E+00  -4.011557E+00  -4.359946E+00  -3.430535E+00  -2.630899E+00  -3.090470E+00
   3.159664E+04   6.252824E+03   2.277033E+00  -1.274053E+00    8.375356E+00   4.465373E-04   8.752729E-02  -2.721045E+00  -3.691875E+00  -3.996535E+00  -4.334240E+00  -3.431240E+00  -2.649357E+00  -3.101073E+00
   3.214054E+04   6.321039E+03   2.294066E+00  -1.274053E+00    8.370810E+00   4.484105E-04   8.585542E-02  -2.747976E+00  -3.683575E+00  -3.978004E+00  -4.303311E+00  -3.431147E+00  -2.669076E+00  -3.112636E+00
   3.279321E+04   6.402111E+03   2.314282E+00  -1.274053E+00    8.366064E+00   4.503750E-04   8.400321E-02  -2.778350E+00  -3.673045E+00  -3.955497E+00  -4.266427E+00  -3.430209E+00  -2.689897E+00  -3.125390E+00
   3.357642E+04   6.498650E+03   2.338184E+00  -1.274053E+00    8.360836E+00   4.525491E-04   8.197459E-02  -2.812794E+00  -3.659781E+00  -3.928274E+00  -4.222642E+00  -3.428127E+00  -2.712455E+00  -3.139446E+00
