star_age  Teff  log_g  metallicity  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   8.412589E+00   3.820222E+03   7.859981E-01   0.000000E+00    6.788028E+00   1.926588E-03   4.282701E-02  -1.869414E+00  -5.449178E+00  -6.386000E+00  -7.315608E+00  -4.542874E+00   3.432405E-01  -3.431647E+00
   1.009512E+01   3.821624E+03   7.883535E-01   0.000000E+00    6.792325E+00   1.918978E-03   4.235731E-02  -1.868581E+00  -5.445228E+00  -6.381268E+00  -7.310289E+00  -4.540460E+00   3.439686E-01  -3.430377E+00
   1.211415E+01   3.823291E+03   7.911583E-01   0.000000E+00    6.797444E+00   1.909952E-03   4.179807E-02  -1.867570E+00  -5.440516E+00  -6.375631E+00  -7.303955E+00  -4.537573E+00   3.448454E-01  -3.428846E+00
   1.453699E+01   3.825362E+03   7.944944E-01   0.000000E+00    6.803435E+00   1.899441E-03   4.113306E-02  -1.866652E+00  -5.435027E+00  -6.368997E+00  -7.296450E+00  -4.534356E+00   3.456503E-01  -3.427307E+00
   1.744440E+01   3.827713E+03   7.984536E-01   0.000000E+00    6.810668E+00   1.886830E-03   4.034391E-02  -1.865171E+00  -5.428358E+00  -6.361037E+00  -7.287506E+00  -4.530247E+00   3.469052E-01  -3.425094E+00
   2.093329E+01   3.830506E+03   8.031440E-01   0.000000E+00    6.819230E+00   1.872010E-03   3.940925E-02  -1.863410E+00  -5.420458E+00  -6.351611E+00  -7.276912E+00  -4.525380E+00   3.483717E-01  -3.422465E+00
   2.511995E+01   3.833867E+03   8.086883E-01   0.000000E+00    6.829286E+00   1.854750E-03   3.830482E-02  -1.861488E+00  -5.411185E+00  -6.340517E+00  -7.264409E+00  -4.519750E+00   3.499336E-01  -3.419514E+00
   3.014396E+01   3.837835E+03   8.152238E-01   0.000000E+00    6.841139E+00   1.834613E-03   3.700349E-02  -1.859179E+00  -5.400241E+00  -6.327443E+00  -7.249670E+00  -4.513086E+00   3.517367E-01  -3.415988E+00
   3.617276E+01   3.842404E+03   8.229018E-01   0.000000E+00    6.855175E+00   1.811048E-03   3.547535E-02  -1.856070E+00  -5.387230E+00  -6.312004E+00  -7.232321E+00  -4.504966E+00   3.540657E-01  -3.411447E+00
   4.340732E+01   3.847824E+03   8.318917E-01   0.000000E+00    6.871538E+00   1.783958E-03   3.368742E-02  -1.852563E+00  -5.372056E+00  -6.293981E+00  -7.212029E+00  -4.495560E+00   3.564958E-01  -3.406245E+00
